löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
1400,M,Ystad,,Fastighetsföreningen Köpingebro,,Folkets Hus i Köpingebro,,,Lilla Köpinge 14:23,Åvägen 4,,,1898,,,biograf,Ystad kommun har övertagit huset och använder det för mötesverksamhet,Ordenshus,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 54",,inventering Malmö,
1401,BD,Arjeplog,,Arjeplogs Folkets Hus byggnadsförening,,,,,,,,,,,,,,,,"FA Norrbotten, Luleå 1947-1961 A-B, D-G",FA,
1402,BD,Boden,,Byggnadsföreningen “Framtiden” Degerselet,,,,,,,,,,,,,,,,"FA Norrbotten, Luleå 1925-1941 A, E-G",FA,
1403,BD,Haparanda,,Folkets Hus föreningen upa Nikkala,,Folkets Hus i Nikkala,ekonomisk förening,,,,,,,,,,,,,"FA Norrbotten, Luleå 1 vol. 1919-1981 A, D, F-G","FA, LS, NAD",
1404,BD,Jokkmokk,,"Snesuddens Folkets husförening, Snesudden",1951,Folkets Hus i Snesudden,,,,,,,,,1974,,,Biografen Saga uppförd 1939,,"FA Norrbotten, Luleå 1938-1973 A-B, E-G","FA, LS",
1405,BD,Piteå,,"Folkets husföreningen Bergsviken, Piteå",1907,Folkets Hus Bergsviken,ekonomisk förening,Sv Sågverksindustriarbetareförbundet avd 126 Storfors,,,,,,,,,lager,,,"Piteå kommunarkiv och FA Norrbotten, Luleå 1907-1962 A-B, D, F-G, J, L","LS, FA, NAD",
1406,BD,Kalix,Nederkalix,Föreningen Folkets Hus upa,1914,Folkets Hus Nyborg,,,,,,,1920,,1925 dansbana,,,,,FA i Norrbotten,"LS, FHP-enkät",Brann ned 1929. OBS samma byggnad som Ytterbyns FH
1407,BD,Kiruna,,,,Folkets Hus i Vassijaure,,Sv Järnvägsmannaförbundets avd 94,,,,,,,,,,,,,LS,1924 beslöt SFMF avd 94 att köpa ett gammalt hus i Vassijaure. Detta hus invigdes 1928. Möjligen är det flyttat. 1940 tog militären det i anspråk i fem år.
1408,BD,Kiruna,,Tuolluvaara byggnadsförening,1909,Tuolluvaara Folkets Hus,,,,,,,1957,,,,,,,,LS,
1409,BD,Luleå,,Luleå Folkets Husförening upa,1898,Folkets Hus i Luleå,,,Fenix 7,Sandviksgatan 49,,,,,,,,,Stellan Persson: Detta samhälle krävde detta hus... Luleå 1989,Folkrörelsearkivet i Norrbotten,LS,Huset gick på exekutiv auktion 1904
1410,BD,Luleå,,,,Folkets Hus i Karlsvik,,,,,,,1925,utanför bolagets område,,,,,,,LS,Nedlades 1930
1411,BD,f d Råneå,Råneå,,1911,Folkets Hus i Sörbyn,,IOGT-logen 3245 Novemberblomman,,,,,1914,,"1930-tal, bio",,,,,,LS,Rivet 1973
1412,BD,Kalix,,Ytterbyns byggnadsförening,1914,Folkets Hus i Ytterbyn,,,,,,,,,1920,,,soldattorp,,,LS,Brann ned 1929. OBS samma byggnad som Nyborgs FH
1413,BD,Kalix,Nederkalix,,,Folkets Park i Sangis,,,,,,,,,,dansbana,,,,,LS,Flyttades många gånger p g a trakasserier men låg flera år vid Betsberget. Tillfällighetskaraktär
1414,BD,Haparanda,,Seskarö Godtemplares byggnadsförening,,Folkets Hus på Seskarö,,nykterhetsloge,,,,,1917,,,"Festsal, ljudfilmsanläggning, teaterscen, möteslokal, kaffekök",,,,,LS,
1415,M,Svalöv,,,,Svalövs Folkets Hus,,,,,,,,,,bostadshus,,,,,NM,Folkets Hus verksamhet var inrymd i ett bostadshus 1903-1907
1416,BD,Haparanda,,,,Folkets Hus i Kukkola,,"Kukkola Ungdomsförening, senare Folkets Hus",,,,,,,,,,,,,LS,Ej bevarat
1417,BD,Piteå,,,,Folkets Park Bergåsa i Rosvik,,,,,,,,,,,,,,,LS,
1418,Y,Örnsköldsvik,,Föreningen Folkets Hus i Örnsköldsvik,1929,Parken Konferens Nöje [Örnsköldsvik],ekonomisk förening,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Folkparken 2 i Örnsköldsvik,Skogsgatan 44,Per-Eddi Bjuggstam / Kjell Ma<ttsson,Gunnar Tjärnberg,1986,i anslutning till tätort,,"friluftsscen, dansbana, restauran","mötesverksamhet, dans, restaurang, konstutställningar, studiecirklar, annat",,,I lokalen 1986-,,
1419,BD,Älvsbyn,,Vistträsk Folkets husförening,,,,,,,,,,,,,,,,,LS,
1420,BD,Jokkmokk,,,,"Folkets Hus i Messaure, Älvgården",,Vattenfall,,,,,1957-58,,,,,,,,LS,
1421,BD,Jokkmokk,,,,,,Porjus LS,,Lillselet,,,1916,,,,,,,,LS,Porjus Folkets Hus nr 2 användes mellan 1916 och 1930.
1422,BD,Arjeplog,,,,Folkets Hus i Arjeplog,privat,Frans Karlsson och Algot Vallström,,,,,,,samlingssal 1939,,,,,,LS,verksamheten staratde 1934
1423,BD,Överkalix,,,slutet av 1940-talet,Folkets Hus i Posjärv,,,,,,,,,,,,"matsal, barack",,,LS,
1424,BD,,,,,Folkets Hus i Junosuando,,,,,,,,,,,,,,,,LS
1425,AB,Södertälje,Södertälje,Föreningen Folkets Hus Södertälje,1903,Folkets Hus i Södertälje,,arbetarekommun,,"Nytomta, Järnagatan",Lennart Green,BPA,1970,tätort,,"Samlingslokal, kontor, teater",,,"Södersten, Erik: Folkets Hus Södertälje, 1970 Gelotte, Göran: Folkets Hus i Södertälje 1970-1990, Södertälje 1990 6 s. : ill.","Södertälje folkrörelsearkiv:  10 vol. 1899-1971. Se även Södertälje Folkets Husfond, ARAB [samling] Folkets Hus och Parker, Stockholm vol 2",FHP-enkät,Gick i  konkurs 1998
1426,X,Hudiksvall,Bjuråker,Ängebo Folkets husförening,,"Ängebo Folkets Hus, Ängebogården",,,,"Ängebo, Bjuråker",,,1963,,,"Möteslokal, kyrksal, bastu, diskotek, bio",,,"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979",ARAB: Folkets husföreningar vol. 3 [samling],"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979 s. 12",
1427,X,Hudiksvall,Delsbo,Delsbo Folkets husförening,1912,Delsbo Folkets Hus,,,,,,,1913,,,"8-kantigt hus med 8-kantig dansbana, scen, kök",,,"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979","Privat förvaring 1912-1990 samt 1 vol 1972 på folkrörelsernas arkiv i Gävle, kontakta Folkrörelsearkivet i Gävle","se ovan, FAX, NAD",huset revs 1933
1428,I,Gotland,,,,Vibble Gamla Folkets Hus,,,,,,,,,,,,,,,Landsarkivet i Visby,
1429,M,Kristianstad,,,,Ekestads Folkets Hus,,,,,,,,,,,,,,,K-d LM,
1430,,,,Byggnadsföreningen Floda medborgarhus,1941,Strandbacken,,,,,,,1951-1954,,,,,,,,FPC,
1431,,,,Dals Långeds Folkets parkförening upa,,Folkets Park,,,,,,,1957,,,,,,,,FPC,
1432,O,Bengtsfors,,Föreningen Bengtsfors Folkpark,1929,Bentsfors Folkets Park,ekonomisk förening,"arbetarekommun, fackföreningar, enskilda",,,,,1929,,,"dansbana, konfektyrförsäljningskiosk, serveringslokal, nöjeshall, teaterbyggnad",,,,,"SF, FHP",
1433,Z,Bräcke,,,,Bräcke Folkets Park,,,,,,,,,,,,,,,FPC,konkurs före 1966
1434,U,Fagersta,,Föreningen Folkets Hus och Park,1906,,ekonomisk förening,"kommun, fackföreningar, ideella organisationer, enskilda",,,,,1911,,,park med dansbana,,,,,FPC,byggnaden troligen riven
1435,W,,,"Föreningen Folkets Hus, Furudal u p a",1926,Folkets Park Furudal,ekonomisk förening,"fackföreningar, ideella föreningar, enskilda",,,,,1929,,,,,,,"Dalarnas Folkrörelsearkiv 0, 6 hm 1927-1979","FPC, NAD",
1436,AB,,Husby-Rekarne,,,"Folkets Borg, Skogstorp",,,,,,,1914,,,,,,,"NM inventeringsrapport, foto",NM,
1437,K,,,,,Folkets Hus Asarum,,,,,,,1929,,,,,,,,NM,
1438,W,Korsnäs,Vika socken,,,Korsnäs Folkets Hus,,,,,,,,,,,,Gamla FH: läkarvilla,,"NM inventeringsrapport 1958, foto på Gamla Folkets hus ARAB: Folkets husföreningar vol. 2 [samling]","NM, ARAB","Gamla Folkets Hus användes 1904-1957, nya byggdes 1957"
1439,,Färgelanda,Färgelanda,"Byggnadsföreningen Allhem, Färgelanda",1936,Färgelanda Folkets Hus,,,,,,,1942,,,,,,,"NM inventeringsrapport 1958, foto ARAB FH och FP samling: övriga landet vol. 5 fragment","NM, ARAB",
1440,U,Valbo,Valbo,,,,,,,,,,1906,,,,,,,"NM inventeringsrapport 1958, foto",NM,
1441,U,Valbo,Valbo,Mackmyra Folkets husförening,1906,Folkets Hus Mackmyra,ekonomisk förening,,,,,,1890-tal,,,,,IOGT-lokal,,"FA Gävleborg: 4 vol. 1906-1962 ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","NM, NAD, ARAB",Huset invigdes den 25 mars 1908
1442,N,Vinbergs kommun,,Vinbergs Arbetarekommuns Byggnadsförening / Folkets Hus,1919,Vinbergs Folkets Hus,,,,,,,,,tillbyggt 1962,,,,,Folkrörelsernas arkiv i norra Halland 1 vol. 1919-1985 samt i lokalen,"NM, FA",Fastigheten inköptes 1919.
1443,,Arbrå,,Arbrå Folkets husförening,1903,Folkets Hus i Arbrå,ekonomisk förening,"arbetarekommun, avd 79 Metall",,,,,1903-1904,,,,,,,Folkrörelsernas arkiv i Gävleborgs län 11 vol. 1903-1976 ARAB [samling]: Organisationsklipp vol. 18,"NM, NAD, Hälsinglands Folkblad 17 okt 1931, Hälsinge Kuriren 18 febr och 20 april 1954",
1444,X,Bollnäs,,Föreningen Folkets Hus Bollnäs,1913,,,,,,,,1884,,,,,Tingshus,,"NM inventeringsrapport 1958, bild",NM,Jfr FH nr 881
1445,Z,Hotagen,,,,Folkets Hus i Valsjöbyn,,,,,,,1955,,,,,,,"NM inventeringsrapport 1958, foto",NM,
1446,Z,Bräcke,Revsund,Gällö Folkets husförening,,Gällö Folkets Hus,,,,,,,1904,,,,,,,"NM inventeringsrapport 1958, foto",NM,
1447,AC,Stensele,,,,Skarvsjögården,,,,,,,1947-49,,,,,,,,NM,
1448,Y,Ånge,Haverö,,,Överturingens Folkets Hus,,,,,,,1957-58,,,,,,,,NM,
1449,Y,Sollefteå,Junsele,Röåns byggnadsförening,,Folkets Hus i Röån,,,,,,,1944,,,,,,,,,
1450,M,,Ö Karrstorp,,,Bjärsjölagård Folkets Park,,,,,,,1918,,,,,,,,NM,"Folkets Park med sammanträdeslokaler, numera raserat."
1451,M,"Glemmingebro, Glemminge",,,,Folkets Hus,,,,,,,1938,,,,,,,,NM,
1452,M,"Glemmingebro, Glemminge",,,,Folkets Hus,,,,,,,1905,,,,,,,,NM,
1453,S,,Frykerud,,,Frykeruds Folkets Hus,,,,,,,,,,,,,,"FH inventering 1958, vykort",NM,Såld till kommunen före 1958
1454,M,,,,,,,,,,,,c:a 1908-1910,,,,,Godtemplarhus,,,NM,Köptes av Folkets husföreningen 1919
1455,M,,Jonstorp,Farhults arbetares yggnadsförening,,,,,,,,,,,,,,skola,,"NM inventering 1958, fotografier",NM,Köptes 1942
1456,M,Kågeröd,,,,Folkets Hus,,,,,,,1905,,,,,,,,NM,
1457,M,Kågeröds kommun,,,,Folkets Hus,,,,,,,1935,,,,,,,,,
1458,M,Malmö,,Limhamns arbetarebyggnadsförening,1898,Limhamns Folkets Hus,,,,,,,1906,,,,1958 fabrik,,Julfacklan 1906 s. 27 o. 34 ill. 3 Limhamns Folkets Hus och 1 Park / Bert Åkesson,"NM inventering 1958 fotografi Arbetarrörelsens arkiv i Malmö 2, 5 hm 1898-1971 ARAB [samling]: Organisationsklipp vol. 12","NM, AAM, Arbetet 5 dec 1936, 25 okt 1946 och 28 okt 1955",invigt 2 sept 1906
1459,M,,Vä,,,"Ringelund Folkets Hus, Vä",,,,,,,1932,,,,,,,"NM inventering 1958 fotografi ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment",NM,
1460,M,Engelholm,,Byggnadsföreningen Folkets Hus Ängelholm,1898,Ängelholms Folkets Hus,,,,,,,1899,,,,,,,Folkrörelsearkivet i Ängelholm 17 vol. 1898-1968,"NAD, NM",
1461,M,Borrby,Östra Hoby,,,,,,,,,,1880-tal,,,,,skola,,,NM,
1462,T,Asker,,,,Askers Folkets Hus,,,,,,,1947,,,,,,,,NM,
1463,T,,,,,Tysslinge Folkets Hus,,,,,,,1933,,,,,,,,NM,
1464,F,Lannaskede,Myresjö,,,Myresjö Folkets Hus,,,,,,,1935,,,,,,,NM inventering 1958 fotografi,NM,
1465,E,Södra Göstring,Malexander,,,Folkets Hus Malexander,,,,,,,1934,,,,,,,NM inventering 1958 fotografier,NM,
1466,F,Sevede,Vimmerby,,,Medborgarhuset Herrgården,byggnadsförening,,,,,,1821-23,,skyttepaviljong 1930,,,,,,NM,Användes som Folkets Hus 1919-1947
1467,F,Solberga,,,,Folkets Hus Solberga,,,,,,,1892,,,,,,,NM inventering 1958 fotografi,NM,
1468,F,Solberga,,,,Solberga Föreningshus,,,,,,,1916,,,,,,,NM inventering 1958 fotografier,NM,
1469,H,Söderåkra,,Bergkvara Folkets husförening upa,,Folkets Hus,,,,,,,1929,,,,,,,,NM,
1470,AB,Solna,,Föreningen Folkets Hus i Nya Huvudsta,,Folkets Hus i Huvudsta,,,,Storgatan 25,,,1915,,,,Församlingshus,,,"ARAB [samling] Folkets Hus och Parker, Stockholm vol. 1, fragment","ARAB, NM, LS","rivet 1954-56, ett tidigare Folkets Hus har funnits"
1471,U,Heby,,Östervåla Byggnadsförening,1923,Östervåla Folkets Hus,,,,,,,1922,,,,,,,I lokalen,"NM, FHP-enkät",
1472,C,Uppsala,,Andelsföreningen Folkets Hus Uppsala,1898,Folkets Hus i Uppsala,,,,,,,1948-50,stadsmiljö,,,konferenser,,Föreningen Folkets Hus i Uppsala 100 år 1898-1998,Folkrörelsearkivet för Uppsala län 58 vol. 1889-1988,"NM, NAD",Se även Folkets Hus Skrivbyrå Förening Uppsala
1473,D,Tystberga,,,,,,,,,,,1935,,,,,,,,NM,
1474,Y,Boteå,Sånga,,,,,,,,,,1933,,,,,,,NM inventering 1958 fotografier,NM,
1475,O,Redväg,Strängsered,,,Redvägs Folkets hus,,,,,,,1938,,,,,,,,NM,
1476,O,Tidan,Götlunda och Vad,,,Folkets Hus,,,,,,,1948,,,,,,,,NM,Provisorisk lokal. Militärbarack som övertogs efter beredskapstiden.
1477,O,Västra Tunhem,Västra Tunhem,,,Folkets Hus Västra Tunhem,,,,,,,1916,,,,,,,NM inventering 1958 fotografi,NM,
1478,S,Ed,Ed,,,Eds Folkets Hus,,,,,,,1908,,,,,,,NM inventering 1958 fotografi,NM,
1479,S,Ed,Ed,,,Eds Folkets Hus,,,,,,,1953,,,,,,,,NM,
1480,T,Karlskoga,,Föreningen Folkets Hus u p a Karlskoga,1900,Karlskoga Folkets Hus,ekonomisk förening,,,,,,1953,,,stadsteater,,,Festskrift : anteckningar om Föreningen Folkets Hus och Park i Karlskoga samt dess verksamhet åren 1900-1953 : utgiven till invigningen av Karlskoga Folkets Hus och stadsteater den 12 december 1953,NM inventering 1958 fotografier Folkrörelsernas arkiv i Karlskoga 39 vol. 1900-1970,"NM, NAD",
1481,T,Karlskoga,,Föreningen Folkets Hus u p a Karlskoga,1900,Karlskoga Follkets Hus,ekonomisk jförening,metalls avd 76 Bofors,,,,,1905,,,"scen, läktare, A-sal, B-sal, vaktmästarebostad, expeditionslokaler, kök, källarvåning",,,Festskrift : anteckningar om Föreningen Folkets Hus och Park i Karlskoga samt dess verksamhet åren 1900-1953 : utgiven till invigningen av Karlskoga Folkets Hus och stadsteater den 12 december 1953,"Folkrörelsernas arkiv i Karlskoga 39 vol. 1900-1970 10-åringen : basartidning utgiven av Föreningen Folkets Hus, Karlskoga, november 1911,  ARAB [broschyr] ARAB: organisationsklipp vol. 7 [samling]","NM, NAD, SF, Karlskoga Kuriren  23 mars 1949, 14 april 1949 och 12 och 19 dec 1953, Örebro Kuriren 21 nov 1930 och 22 nov 1935, 11 mars 1939,",1953 såldes huset till Karlskoga stad
1482,S,Torsby,Norra Ny,Ambjörby Folkets husförening,1923,Ambjörby Folkets Hus,,,,,,,1958,,,,,,,NM inventering 1958 fotografi,NM,
1483,S,Filipstad,Nordmark,,,Nordmarks Folkets Hus,,,,,,,,,,,,,,,NM,Användes som Folkets Hus c:a1900-1915
1484,S,Stavnäs,Värmskog,,,Liljenäs samlingslokal,,,,,,,1850-tal,,1924,,,ordenslokal,,NM inventering 1958 fotografier,NM,Flyttades till platsen 1924. Tidigare hölls möten i Värmskogs sockenstuga
1485,U,Fagersta,,Föreningen Fagersta Folkets Hus och Park,1906,Folkets Hus,,,,,,,,,,,,mekanisk verkstad,,Folkrörelsernas arkiv i Gävleborg 12 vol 1902-1980,"NM, NAD",Inköptes 1906
1486,U,Fagersta,,,,Folkets Hus,,,,,,,1910,,,,,,,,NM,1910 övertogs en påbörjad byggnation av samlingslokal av en nykterhetsorganisation. Huset brann ned 1931. På samma plats byggdes sedan ett nytt Folkets Hus invigt 1934.
1487,U,Norberg,,Norbergs arbetareförening,,Kärrgruvans Arbetareföreningslokal,,,,,,,1880-tal,,,,,,,NM inventering 1958 fotografi ARAB: Organisationsklipp vol. 29 [samling],"NM, SF",Användes som Folkets Hus 1905-1918. Har dock använts för arbetaremöten sedan 1880-talet. Brann ned 1918
1488,T,Grythyttan,,Föreningen Folkets Hus i Rockesholm u p a,1928,Rockesholms Folkets Hus,,,,,,,1945,,,,,skola,,"ARAB [samling]: Folkets Hus och Parker; övriga landet, vol. 8 fragment","NM, ARAB",Tidigare förekom Folkets husverksamhet i en äldre nedlagd skola som revs omkring 1940
1489,U,Sala,,Sala Nya Folket husförening,,Folkets Hus,,,,,,,,,,,,Bostad,,,NM,Inköpt 1952
1490,U,Sala,,,,Folkets Hus,,,,,,,,,,,,,,,NM,Verksamhet förekom 1908-1913. Senare bostadshus.
1491,U,Västerås,Tillberga,,,Tillberga Folkets Hus,,,,,,,1957,,,,,,,,NM,
1492,U,Västerås,,Föreningen Folkets Hus och Park Västerås,1898,Folkets Hus Västerås,,,,Blåsbogatan 3,,,,,,,,,"Hedber, Aug: Föreningen Folkets Hus och Park i Västerås u.p.a. 25 år 14/5 1899-1924. Hedberg, Aug.: Föreningen Folkets Hus och Park i Västerås u.p.a. 50 år 14/5 1899-1949",NM inventering 1958 fotografi Folkrörelsernas arkiv i Västerås arkivorganisation: 60 vol. 1898-1959,"NM, NAD","Verksamhet 1902-1919, hyrdes först och köptes senare"
1493,U,Västerås,,Föreningen Folkets Hus och Park Västerås,1898,Folkets Hus Västerås,,,,Smedjegatan 1-5,Wilhelm Alnefelt och Nils-Olof Tollbom,,1958-59,,,,,,"Nytt Folkets Hus i Västerås sextionde verksamhetsåret / Stig Löfstrand, 1959",ARAB: Organisationsklipp vol. 30 [samling],"NM, Stockholms Tidningen 19 aug 1959, DN 10 sept 1959, Folkbladet Västerås 11 och 14 dec 1959, Transportarbetaren nr 7-8 1959",
1494,E,Norrköping,,Byggnadsföreningen Folkets Hus i Norrköping,1897,Norrköpings Folkets Hus,,,,,,,1958-59,,,,,,Byggnadsföreningen Folkets Hus i Norrköping UPA. Historik över de gångna 50 årens verksamhet. Byggnadsföreningen Folkets Hus i Norrköping u.p.a. 75 år. Minnesskrift.,Folkrörelsernas arkiv i Norrköping 20 vol. 1890-1976 ARAB: [samling] organisationsklipp vol. 8,"NM, NAD, FA",
1495,Y,Nyland,Ytterlännäs,,,Folkets Hus Nyland,,,,,,,1946-47,,,,,,,NM inventering 1958 fotografier,NM,
1496,H,Mörbylånga,,,,Mörbylånga Folkets Hus,,,,,,,,,,,,,,,NM,1955 inköptes en utrangerad skolbyggnad
1497,E,Linköping,,Föreningen Folkets Hus Linköping /  Föreningen Folkets Hus och AB,folkets Park Linköping,Folkets Hus Linköping,,,,,,,1951-53,,,,,,"Minnesskrift. Blad ur Linköpings Folkets Hus föreningsverksamhet åren 1900-1926 och 1927-1953. Sammanställda till invigningen av Linköpings Folkets Hus den 12 september 1953. Hellström, Sven: Folkets Hus [Linköping] i Arbete, stolthet, respekt.","Linköpings föreningsarkiv 52 vol.  1879, 1927-1992 Östergötlands länsmuseum 1914-1952 verksamhetsberättelser ARAB: organisationsklipp vol. 7 [samling]","FA Linköping och NAD, Morgon Tidningen 13 sept 1953, Elektrikern nr 1 1954",
1498,E,Linköping,,,,Huitfeltska Gården,,,,,,,,,,,,,,,NM,Inköptes 1930. Nu flyttad till Gamla Linköping
1499,E,Södra Göstring,Åsbo,,,,,,,,,,1937,,,,,,,,NM,
1500,H,Hultsfred,,Byggnadsföreningen Haga upa,1921,Hultsfreds Folkets Park,kommun,,,,,,1928,,,,,,,I kommunens arkiv 1921-,ARAB: FPC parkinventering 1966 DVII 1960-69,
1501,AB,,,,,Tumba Folkets Park,,,,,,,,,,,,,,,FP Engel 1982 s. 206,
1502,S,,,,,Bjurbergets Folkets Park,,,,,,,,,,,,,,,FP Engel 1982 s. 206,
1503,,,,,,Nås Folkets Park,,,,,,,,,,,,,,,FP Engel 1982 s. 206,
1504,M,Landskrona,,Landskronaför. Slottsfesten Festarrangören,1946,Slottsfesten Citadellet Landskrona,kommun,politiska föreningar och klubbar,,,,,1963,,,,,,"Blomstrand, Kalle: Kafé och Nöjesliv i Landskrona, 1980",Arbetarrörelsens arkiv i Landskrona: ingår i Folkets Hus Andelsförening u p a Landskrona Eriksgatan arkiv 60 vol.,"ARAB: FPC inventering 1966, AA, NAD",
1505,W,Vansbro,,Nya Föreningen Folkets Hus,1926,Parkhallen Vansbro,,kommunalt driftbidrag 1992,Västgård 6:58,,,,1954,,,,,,,,FPC,
1506,O,Bengtsfors,,Bengtsfors Folkets parkförening,,Bengtsfors Folkets Park,,,,,,,,,,,,,,,ARAB: FPC´s arkiv: Parkregister vol. D VII: 1 1970-79,Parken gick i konkurs 1972
1507,U,Östervåla,,,,Östervåla Folkets Park,,,,,,,,,,,,,,,FP Engel 1982 s. 206,
1508,Z,Östersund,,Föreningen Folkets Hus,1922,Östersunds Folkets Park,ekonomisk förening,fackföreningar och enskilda,,,,,1928,,,,,,"Parkbladet : minnesblad över invigningen af Östersunds Folkpark den 7 juni 1903 / utg. Agitations-komitén. Föreningen Hus i Östersund 1906 -1980. En historik i text och bilder Hansen, Kjell: Föreningen Folkets Hus i Östersund 1906-1980,","ARAB: Folkets husföreningar vol. 3 [samling] ARAB: Folkets Hus och Parker, övriga landet  vol. 10 [samling] Folkrörelsearkivet i Östersund","FPC, ARAB, FA, FHP-enkät",En tidigare folkpark fanns i Hornsberg från 1906
1509,E,Mjölby,Mjölby,Mjölby Folkpark Förening upa 1915,1915,Mjölby Folkpark,,,,,,,1915,,,,,,,Föreningsarkviet i Mjölby samt i lokalen,ARAB: FPC parkinventering 1966,
1510,X,,,Folkets Hus Forsbacka,,Folkets Hus Forsbacka,ekonomisk förening,,,,,,1906,,,,,,,"FA, NAD 4 vol. 1921-1974 ARAB: Folkets husföreningar vol 1 [samling]","NAD, ARAB",
1511,F,Vaggeryd,,Skillingaryd Folkets Park,1937,Skillingaryds Folkets Park,,,,,,,,,,,,,,Jönköpings läns folkrörelsearkiv 13 vol. 1943-1989,"FPC, NAD","Ingick under åren 1943-1947 i Byggnadsföreningen Folkets Hus och Folkets Park u p a, Skillingaryd. Parken revs 1978."
1512,X,Söderhamn,,Söderhamns stad bergskommitté,sent 1800-tal,"Östra Berget, Söderhamn",,,,,,,,,,,,,,,FPC,
1513,K,Sölvesborg,Sölvesborg,Styrelsen för Tivoliparken,1954,Tivoliparken,,,,,,,(1848) 1954,,,,,,,,FPC,
1514,M,Ystad,,Ystads partiföreningars fastighetsförening,,Ystad Folkets Park,ekonomisk förening,,,,,,1896,,,,,,"Julfacklan 1898 s. 17-19 ill. Nilsson, Ivar: Kampår. Ystads arbetarerörelse genom fem decennier, 1938. Thomasson, Sigurd: Ystads Folkets Park 1896-1946 / Surbrunn -",Stadsarkivet i Ystad 1828-1985 30 vol. (FA) 206 vol. (NAD) Jfr Folkets Hus Ystad.,"FPC, NAD",
1515,Z,Östersund,,,,Folkets Hus i Lit,ekonomisk förening,,,,,,,,,,,,,"ARAB: FHP-samling: övriga landet, fragment","ARAB, NAD",
